sno,country,death,recovery
,1,india,8.5,11.2
,2,us,10,000
,3,italy,7.5,11.7
,4,france,12.3,6.9
,5,germany,21.8,5.7
,6,britain,18.1,000
,7,canada,23.9,10
,8,china,7.2,8.6
,9,sweden,22.4,16
,10,japan,9.3,5.1
